0xec676d36ea1c0dfb603eedbaf960484c24a438c9ca09727abb16ebe43d18b9e0 6 57 240000000 12233568 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 48.147s
0xcaf59e01d73f63bd5c76ee49a73c6efd593942f935f77286dc3ec96e12b189ba 11 0 240000000 0 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 35.151s
0x86ac2ee74e4e0b3ba73f77a8800be929fd8027c4c9c8884c1c93ee445c8e07db 39 0 240000000 0 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 19.436s
0xf5fc780813ce2dfb12913ada7a0b05d82663a9c596ef7b07fa163502e5f2ae0c 41 0 240000000 0 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 12.144s
0x8cf0be98c427ddbf49e0cb2dd6c4264d2c21361fa993c6788777d9aa5dfdcec7 66 0 240000000 0 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 5.280s
0x9bc3a3d01180e99edb7e0629689d4f16a11596d64d7a257f8d321a7f51f90834 69 0 240000000 0 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 11.882s
0xe4819ffbd8e8c4e9ccc2beff506b1741f32fbea000bfd9b7c24bbf58b208d434 81 0 240000000 0 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 181.764ms
0x37b993d6d59da739dca43b5c911aaba075316f7896d9189343e27fca19b8fceb 88 0 240000000 0 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 163.834ms
0x8a0e3d783e9eae2547709cbd4d2254eff4be9975ec2ccf535890556752383dba 89 0 240000000 0 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 841.846ms
0x9a9069ac0124998deac52babaac77007f568b601dbceccf19cc19429a9764748 113 166 240000000 239123598 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 1.102s
0x5f4e00a95a69eba3f41c91c2f4efaee0ed0fe7f74470541a3e0cede63620f3be 115 46 240000000 239090127 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 18.114s
0x96829ddcf791414e9b8446db00520d8362615ffb12e2ef9221ba12f187e8068f 126 99 240000000 239090127 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 25.191s
0xe6f4214d25a0d007b6e6636ee99d29d22cb2c0dd4c73287dafdb95e8e76b5eee 130 166 240000000 239090127 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 25.057s
0x50b63fd1202bbacd170fabedc99289a4ecd722a1714802f2405cd5710b49ad6c 136 43 240000000 239090127 0xa08c70f7328139FF6da6F2a1A70d3E8a14879491 6.267s
