Experiment Start Time2019-07-24 23:03:05.088694
12,2019-07-24 23:04:09.240454
14,2019-07-24 23:05:13.012484
17,2019-07-24 23:06:16.467287
25,2019-07-24 23:07:20.070160
32,2019-07-24 23:08:23.793957
43,2019-07-24 23:09:28.106886
52,2019-07-24 23:10:32.127721
63,2019-07-24 23:11:36.766428
65,2019-07-24 23:12:40.381312
73,2019-07-24 23:13:44.568868
76,2019-07-24 23:14:48.086447
84,2019-07-24 23:15:51.985807
87,2019-07-24 23:16:55.657241
88,2019-07-24 23:17:59.109072
94,2019-07-24 23:19:02.573927
96,2019-07-24 23:20:06.229412
98,2019-07-24 23:21:09.865868
103,2019-07-24 23:22:13.557820
111,2019-07-24 23:23:17.696284
114,2019-07-24 23:24:21.628088
118,2019-07-24 23:25:24.987866
120,2019-07-24 23:26:28.843190
127,2019-07-24 23:27:32.813529
130,2019-07-24 23:28:36.309391
132,2019-07-24 23:29:39.686974
135,2019-07-24 23:30:43.525071
137,2019-07-24 23:31:46.947711
143,2019-07-24 23:32:50.609726
147,2019-07-24 23:33:53.908830
153,2019-07-24 23:34:57.894769
158,2019-07-24 23:36:01.506959
164,2019-07-24 23:37:05.039292
169,2019-07-24 23:38:08.628484
173,2019-07-24 23:39:12.522671
177,2019-07-24 23:40:16.158433
179,2019-07-24 23:41:19.508106
180,2019-07-24 23:42:22.868547
184,2019-07-24 23:43:26.573617
189,2019-07-24 23:44:30.080492
194,2019-07-24 23:45:33.616802
200,2019-07-24 23:46:37.183018
205,2019-07-24 23:47:40.645091
211,2019-07-24 23:48:44.566518
212,2019-07-24 23:49:47.966441
217,2019-07-24 23:50:51.536936
219,2019-07-24 23:51:54.839210
224,2019-07-24 23:52:58.488699
231,2019-07-24 23:54:02.069547
233,2019-07-24 23:55:05.528360
237,2019-07-24 23:56:09.044151
240,2019-07-24 23:57:12.674516
244,2019-07-24 23:58:16.439102
244,2019-07-24 23:59:19.927842
251,2019-07-25 00:00:23.568061
253,2019-07-25 00:01:27.153865
258,2019-07-25 00:02:30.934434
262,2019-07-25 00:03:34.704752
266,2019-07-25 00:04:38.366953
270,2019-07-25 00:05:42.001280
278,2019-07-25 00:06:46.083639
285,2019-07-25 00:07:50.140005
287,2019-07-25 00:08:53.578998
296,2019-07-25 00:09:57.943974
301,2019-07-25 00:11:01.577229
308,2019-07-25 00:12:05.585929
312,2019-07-25 00:13:09.387685
318,2019-07-25 00:14:13.098818
323,2019-07-25 00:15:16.795646
326,2019-07-25 00:16:20.397665
327,2019-07-25 00:17:24.047884
333,2019-07-25 00:18:27.908600
340,2019-07-25 00:19:31.657378
344,2019-07-25 00:20:35.302054
351,2019-07-25 00:21:39.108645
353,2019-07-25 00:22:42.622056
359,2019-07-25 00:23:46.240620
362,2019-07-25 00:24:49.805908
365,2019-07-25 00:25:53.275753
367,2019-07-25 00:26:56.687584
371,2019-07-25 00:28:00.327988
375,2019-07-25 00:29:03.927568
380,2019-07-25 00:30:07.662030
384,2019-07-25 00:31:11.567849
388,2019-07-25 00:32:15.266369
391,2019-07-25 00:33:18.797563
395,2019-07-25 00:34:22.581538
402,2019-07-25 00:35:26.326636
408,2019-07-25 00:36:30.206549
409,2019-07-25 00:37:33.989398
412,2019-07-25 00:38:37.608945
417,2019-07-25 00:39:41.509925
418,2019-07-25 00:40:45.027802
421,2019-07-25 00:41:48.613426
422,2019-07-25 00:42:52.190649
424,2019-07-25 00:43:55.988695
429,2019-07-25 00:44:59.944383
431,2019-07-25 00:46:03.516040
435,2019-07-25 00:47:07.168928
437,2019-07-25 00:48:10.664117
440,2019-07-25 00:49:14.445753
442,2019-07-25 00:50:17.939496
446,2019-07-25 00:51:21.767981
454,2019-07-25 00:52:25.738810
459,2019-07-25 00:53:29.785879
463,2019-07-25 00:54:33.647391
464,2019-07-25 00:55:37.223787
466,2019-07-25 00:56:40.659995
469,2019-07-25 00:57:44.316495
474,2019-07-25 00:58:47.939538
478,2019-07-25 00:59:51.419629
483,2019-07-25 01:00:55.237866
487,2019-07-25 01:01:58.890885
489,2019-07-25 01:03:02.377418
493,2019-07-25 01:04:06.267976
494,2019-07-25 01:05:09.839948
497,2019-07-25 01:06:13.437257
500,2019-07-25 01:07:17.086619
507,2019-07-25 01:08:21.206406
509,2019-07-25 01:09:24.763273
514,2019-07-25 01:10:28.448161
516,2019-07-25 01:11:32.193404
524,2019-07-25 01:12:36.479225
529,2019-07-25 01:13:40.390456
537,2019-07-25 01:14:44.329129
540,2019-07-25 01:15:47.949800
543,2019-07-25 01:16:51.528629
549,2019-07-25 01:17:55.530535
554,2019-07-25 01:18:59.297222
557,2019-07-25 01:20:02.848089
559,2019-07-25 01:21:06.407655
565,2019-07-25 01:22:10.406659
568,2019-07-25 01:23:14.407308
573,2019-07-25 01:24:18.698161
578,2019-07-25 01:25:22.220653
581,2019-07-25 01:26:26.081202
588,2019-07-25 01:27:29.838547
590,2019-07-25 01:28:33.508895
594,2019-07-25 01:29:37.350766
595,2019-07-25 01:30:40.807781
600,2019-07-25 01:31:44.453231
603,2019-07-25 01:32:47.933660
605,2019-07-25 01:33:51.447777
612,2019-07-25 01:34:55.398965
614,2019-07-25 01:35:58.807072
616,2019-07-25 01:37:02.510342
620,2019-07-25 01:38:06.314965
623,2019-07-25 01:39:10.088860
625,2019-07-25 01:40:13.665372
630,2019-07-25 01:41:17.668743
634,2019-07-25 01:42:21.406642
639,2019-07-25 01:43:25.298851
640,2019-07-25 01:44:28.890304
644,2019-07-25 01:45:32.511417
647,2019-07-25 01:46:36.330662
651,2019-07-25 01:47:40.229226
660,2019-07-25 01:48:44.502927
662,2019-07-25 01:49:47.939194
667,2019-07-25 01:50:51.587863
672,2019-07-25 01:51:54.987458
677,2019-07-25 01:52:58.767508
683,2019-07-25 01:54:02.608663
684,2019-07-25 01:55:05.938801
689,2019-07-25 01:56:09.566509
695,2019-07-25 01:57:13.284304
700,2019-07-25 01:58:17.045074
702,2019-07-25 01:59:20.501454
704,2019-07-25 02:00:23.867963
707,2019-07-25 02:01:27.567726
709,2019-07-25 02:02:31.142398
715,2019-07-25 02:03:35.228126
718,2019-07-25 02:04:39.009651
720,2019-07-25 02:05:42.469184
722,2019-07-25 02:06:45.924976
728,2019-07-25 02:07:49.888329
730,2019-07-25 02:08:53.408735
732,2019-07-25 02:09:56.966855
742,2019-07-25 02:11:00.860005
745,2019-07-25 02:12:04.507175
748,2019-07-25 02:13:08.147107
752,2019-07-25 02:14:11.738304
