tau,hE,h,sE,s
0.0,0.5,0.5,0.5,0.5
0.2,0.501633327523531,0.5016780758912598,0.5065566373170706,0.5067350562068924
0.5,0.5040832425572056,0.5043748883497734,0.5162307758636951,0.5173697566780561
1,0.5081659405157599,0.5094219614598705,0.531934890987194,0.5366636533865109
2,0.5163275259849945,0.5222580070505018,0.5618314796576945,0.5823693313615569
4,0.5326202672690731,0.569546223939229,0.6160250221967486,0.7160930285287337
