ratio,totalTx,TotalTime,throughputoverall,throughput,cfi
0.011,4743,16219.826532125473,1052.7116283383884,38495.414673528234,0.09781100056095088
0.139,37080,16477.270140886307,8101.341961297706,40129.68820218101,0.6023485941141893
0.253,5010,16329.301314115524,1104.5175573071922,39410.398216881826,0.7671738958803088
