delay,probability,cumulative
1,0.5974025974025974,0.597
2,0.23376623376623376,0.831
3,0.05844155844155844,0.89
4,0.04220779220779221,0.932
5,0.025974025974025976,0.958
6,0.003246753246753247,0.961
7,0.003246753246753247,0.964
9,0.006493506493506494,0.971
10,0.003246753246753247,0.974
257,0.025974025974025976,1.0
