delay,gasUsage,totalMainChain,totalMined,forkRate,cfiFork,frac1,cfi1,frac2,cfi2,frac3,cfi3,frac4,cfi4,frac5,cfi5,frac6,cfi6,frac7,cfi7,frac8,cfi8,frac9,cfi9
1,12,950,995,95.53140909,1.62521650582,97.9275956284,1.38021956792,98.3128583129,1.57266462817,98.5714285714,2.04373487637,98.1818181818,2.60111711538,95.7142857143,6.13120462912,76.9206349206,7.25430813315,98.1818181818,2.60111711538,91.8997668998,6.04055290009,90.2777777778,6.64965496181
1,120,950,1177,80.8610488751,2.46048913883,91.7072201714,2.9632306016,88.6055869124,4.61736656568,83.4695916542,2.06369256233,81.0757575758,3.47160904367,58.6980519481,5.22492378929,57.6060606061,17.7455166631,77.0372960373,12.895263217,51.1666666667,13.5174347566,70.6984126984,11.9431997314
1,240,950,1392,68.332732773,1.75686188693,83.7528966752,1.32417808019,67.8056617883,2.06850147819,67.9060939061,2.32369586456,61.9994058229,8.95616375458,52.2745098039,5.57341311856,70.9857397504,11.9167029206,46.9722222222,1.89794113303,53.3333333333,5.19319472049,52.4444444444,7.69589068991
